Subject Name,Scientific.Name
basketplant,Callisia fragrans
bottlebrush,Callistemon viminalis
European waterstarwort,Callitriche stagnalis
heather,Calluna vulgaris
incense-cedar,Calocedrus decurrens
Antilles calophyllum,Calophyllum antillanum
Alexandrian laurel,Calophyllum inophyllum
hedge bindweed,Calystegia sepium
smallseed falseflax,Camelina microcarpa
largeseed falseflax,Camelina sativa
clustered bellflower,Campanula glomerata
Canterbury bells,Campanula medium
creeping bellflower,Campanula rapunculoides
maunaloa,Canavalia cathartica
Indian shot,Canna indica
hemp/marijuana (sativa),Cannabis sativa
shepherd's-purse,Capsella bursa-pastoris
Siberian peashrub,Caragana arborescens
woodland bittercress,Cardamine flexuosa
narrowleaf bittercress,Cardamine impatiens
whitetop,Cardaria spp.
balloonvine,Cardiospermum halicacabum
spiny plumeless thistle,Carduus acanthoides
curly plumeless thistle,Carduus crispus
musk thistle,Carduus nutans
nodding plumeless thistle,Carduus nutans macrolepis
Italian plumeless thistle,Carduus pycnocephalus
plumeless thistle,Carduus spp.
slenderflower thistle,Carduus tenuiflorus
thinfruit sedge,Carex flaccosperma
Japanese sedge,Carex kobomugi
Long's sedge,Carex longii
hanging sedge,Carex pendula
awlfruit sedge,Carex stipata
papaya,Carica papaya
natal-plum,Carissa macrocarpa
sea fig,Carpobrotus chilensis
hottentot fig,Carpobrotus edulis
Wards weed,Carrichtera annua
woolly distaff thistle,Carthamus lanatus
safflower,Carthamus tinctorius
field Indian paintbrush,Castilleja arvensis
hairy Indian paintbrush,Castilleja tenuis
river sheoak,Casuarina cunninghamiana
Australian-pine,Casuarina equisetifolia
gray sheoak,Casuarina glauca
southern catalpa,Catalpa bignonioides
Chinese catalpa,Catalpa ovata
northern catalpa,Catalpa speciosa
Madagascar periwinkle,Catharanthus roseus
bushkiller,Cayratia japonica
trumpet tree,Cecropia palmata
Deodar cedar,Cedrus deodara
oriental bittersweet,Celastrus orbiculatus
buffelgrass,Cenchrus ciliaris
southern sandbur,Cenchrus echinatus
longspine sandbur,Cenchrus longispinus
elephant grass,Cenchrus purpureus
crimson fountaingrass,Cenchrus setaceus
purple starthistle,Centaurea calcitrapa
cornflower,Centaurea cyanus
meadow knapweed,Centaurea debeauxii
diffuse knapweed,Centaurea diffusa
North African knapweed,Centaurea diluta
Iberian starthistle,Centaurea iberica
brown knapweed,Centaurea jacea
bighead knapweed,Centaurea macrocephala
Malta starthistle,Centaurea melitensis
perennial cornflower,Centaurea montana
black knapweed,Centaurea nigra
alpine knapweed,Centaurea nigrescens
greater knapweed,Centaurea scabiosa
yellow starthistle,Centaurea solstitialis
knapweeds,Centaurea spp.
spotted knapweed,Centaurea stoebe
spotted knapweed,Centaurea stoebe ssp. Micranthos
squarrose knapweed,Centaurea virgata
European centaury,Centaurium erythraea
Asiatic pennywort,Centella asiatica
red valerian,Centranthus ruber
common tarweed,Centromadia pungens ssp. Pungens
common mouse-ear chickweed,Cerastium fontanum
big chickweed,Cerastium fontanum ssp. Vulgare
sticky chickweed,Cerastium glomeratum
nodding chickweed,Cerastium nutans
boreal chickweed,Cerastium tomentosum
bur buttercup,Ceratocephala testiculata
day jessamine,Cestrum diurnum
night jessamine,Cestrum nocturnum
Chilean jessamine,Cestrum parqui
dwarf snapdragon,Chaenorhinum minus
sensitive partridgepea,Chamaecrista nictitans
Port Orford cedar,Chamaecyparis lawsoniana
tagasaste,Chamaecytisus palmensis
Seifriz's chamaedorea,Chamaedorea seifrizii
garden spurge,Chamaesyce hirta
African cornflag,Chasmanthe floribunda
greater celandine,Chelidonium majus
celandine,Chelidonium majus var. majus
lambsquarters,Chenopodium album
lambsquarters,Chenopodium album var. album
Mexican tea,Chenopodium ambrosioides var. ambrosioides
pitseed goosefoot,Chenopodium berlandieri var. berlandieri
slimleaf lambsquarters,Chenopodium leptophyllum
nettleleaf goosefoot,Chenopodium murale
red goosefoot,Chenopodium rubrum
giantseed goosefoot,Chenopodium simplex
rush skeletonweed,Chondrilla juncea
blue mustard,Chorispora tenella
boneseed,Chrysanthemoides monilifera ssp. Moniliferq
chicory,Cichorium intybus
western waterhemlock,Cicuta douglasii
camphortree,Cinnamomum camphora
Canada thistle,Cirsium arvense
marsh thistle,Cirsium palustre
bull thistle,Cirsium vulgare
rock rose,Cistus creticus
colocynth,Citrullus colocynthis
trifoliate orange,Citrus trifoliata
lime,Citrus x aurantiifolia
sour orange,Citrus x aurantium
lemon,Citrus x limon
orange,Citrus x sinensis
oriental virginsbower,Clematis orientalis
orange-peel clematis,Clematis tangutica
sweet autumn virginsbower,Clematis terniflora
evergreen clematis,Clematis vitalba
rose glorybower,Clerodendrum bungei
stickbush,Clerodendrum chinense
turk's turbin,Clerodendrum indicum
Javanese glorybower,Clerodendrum speciosissimum
soapbush,Clidemia hirta
yerba buena,Clinopodium douglasii
wild basil,Clinopodium vulgare
coconut palm,Cocos nucifera
Arabian coffee,Coffea arabica
star-mustard,Coincya monensis
Job's tears,Coix lacryma-jobi
tiny trumpet,Collomia linearis
"coco yam, wild taro",Colocasia esculenta
Asian nakedwood,Colubrina asiatica
bladder senna,Colutea arborescens
Benghal dayflower,Commelina benghalensis
Asiatic dayflower,Commelina communis
narrow-leaved iceplant,Conicosia pugioniformis
poison hemlock,Conium maculatum
haresear mustard,Conringia orientalis
lily of the valley,Convallaria majalis
field bindweed,Convolvulus arvensis
hairy fleabane,Conyza bonariensis
cabbage tree,Cordyline australis
American bugseed,Corispermum americanum var. rydbergii
shiny bugseed,Corispermum nitidum
gray dogwood,Cornus racemosa
redosier dogwood,Cornus sericea
lesser swinecress,Coronopus didymus
purple pampasgrass,Cortaderia jubata
Uruguayan pampas grass,Cortaderia selloana
incised fumewort,Corydalis incisa
common filbert,Corylus avellana
karaka nut,Corynocarpus laevigatus
garden cosmos,Cosmos bipinnatus
canereed,Costus speciosus
golden chamomile,Cota tinctoria
milkflower cotoneaster,Cotoneaster coriaceus
orange cotoneaster,Cotoneaster franchetii
silverleaf cotoneaster,Cotoneaster pannosus
Simons' cotoneaster,Cotoneaster simonsii
cotoneaster,Cotoneaster spp.
southern brassbuttons,Cotula australis
brassbuttons,Cotula coronopifolia
redflower ragleaf,Crassocephalum crepidioides
common hawthorn,Crataegus monogyna
Washington hawthorn,Crataegus phaenopyrum
smooth hawksbeard,Crepis capillaris
narrowleaf hawksbeard,Crepis tectorum
montbretia,Crocosmia x crocosmiiflora
showy rattlebox,Crotalaria spectabilis
smooth bedstraw,Cruciata laevipes
piedmont bedstraw,Cruciata pedemontana
common crupina,Crupina vulgaris
Torrey's cryptantha,Cryptantha torreyana
Japanese cedar,Cryptomeria japonica
Palay rubbervine,Cryptostegia grandiflora
Madagascar rubbervine,Cryptostegia madagascariensis
Chinese fir,Cunninghamia lanceolata
carrotwood,Cupaniopsis anacardioides
tarweed cuphea,Cuphea carthagenensis
Arizona cypress,Cupressus arizonica
Monterey cypress,Cupressus macrocarpa
smallseed alfalfa dodder,Cuscuta approximata
Japanese dodder,Cuscuta japonica
dodder (nonnative),Cuscuta spp.
little ironweed,Cyanthillium cinereum
Cooper's cyathea,Cyathea cooperi
downy maiden fern,Cyclosorus dentatus
Kenilworth ivy,Cymbalaria muralis
cardoon,Cynara cardunculus
bermudagrass,Cynodon dactylon
houndstongue,Cynoglossum officinale
hedgehog dogtailgrass,Cynosurus echinatus
smallflower umbrella sedge,Cyperus difformis
deeprooted sedge,Cyperus entrerianus
yellow nutsedge,Cyperus esculentus
haspan flatsedge,Cyperus haspan
umbrella plant,Cyperus involucratus
miniature flatsedge,Cyperus prolifer
purple nutsedge,Cyperus rotundus
Japanese netvein hollyfern,Cyrtomium falcatum
white spanishbroom,Cytisus multiflorus
Scotch broom,Cytisus scoparius
striated broom,Cytisus striatus
orchardgrass,Dactylis glomerata
orchardgrass,Dactylis glomerata ssp. glomerata
crowfootgrass,Dactyloctenium aegyptium
Indian rosewood,Dalbergia sissoo
spurgelaurel,Daphne laureola
February daphne,Daphne mezereum
sacred datura,Datura inoxia
jimsonweed,Datura stramonium
"Queen Anne's lace, wild carrot",Daucus carota
cape ivy,Delairea odorata
Japanese false spleenwort,Deparia petersenii
annual hairgrass,Deschampsia danthonioides
slender hairgrass,Deschampsia elongata
flixweed,Descurainia sophia
creeping beggarweed,Desmodium incanum
Hawai'i ticktrefoil,Desmodium sandwicense
threeflower beggarweed,Desmodium triflorum
fuzzy pride-of-Rochester,Deutzia scabra
Deptford pink,Dianthus armeria
sweetwilliam,Dianthus barbatus
maiden pink,Dianthus deltoides
feathered pink,Dianthus plumarius
rock snot,Didymosphenia geminata
Grecian foxglove,Digitalis lanata
foxglove,Digitalis purpurea
southern crabgrass,Digitaria ciliaris
pangolagrass,Digitaria eriantha
sourgrass,Digitaria insularis
smooth crabgrass,Digitaria ischaemum
large crabgrass,Digitaria sanguinalis
East Indian crabgrass,Digitaria setigera
violet crabgrass,Digitaria violascens
winged yam,Dioscorea alata
air-potato,Dioscorea bulbifera
Chinese yam,Dioscorea polystachya
okie bean,Dipogon lignosus
common teasel,Dipsacus fullonum
cutleaf teasel,Dipsacus laciniatus
Fuller's teasel,Dipsacus sativus
stinkwort,Dittrichia graveolens
false yellowhead,Dittrichia viscosa
spring whitlowgrass,Draba verna
Moldavian dragonhead,Dracocephalum moldavica
thyme-flowered dragonhead,Dracocephalum thymiflorum
heartleaf drymary,Drymaria cordata
Autumn fern,Dryopteris erythrosora
three-way sedge,Dulichium arundinaceum var. arundinaceum
mexicantea,Dysphania ambrosioides
clammy goosefoot,Dysphania pumilio
junglerice,Echinochloa colona
barnyardgrass,Echinochloa crus-galli
pride of Madeira,Echium candicans f.
salvation jane,Echium plantagineum
common viper's bugloss,Echium vulgare
eclipta,Eclipta prostrata
Brazilian waterweed,Egeria densa
perennial veldtgrass,Ehrharta calycina
panic veldtgrass,Ehrharta erecta
longflowered veldtgrass,Ehrharta longiflora
common water hyacinth,Eichhornia crassipes
Russian olive,Elaeagnus angustifolia
cherry silverberry,Elaeagnus multiflora
thorny olive,Elaeagnus pungens
autumn olive,Elaeagnus umbellata
autumn olive,Elaeagnus umbellata var. parvifolia
goosegrass,Eleusine indica
five-leaf aralia,Eleutherococcus sieboldianus
common elodea,Elodea canadensis
western elodea,Elodea nuttallii
crested latesummer mint,Elsholtzia ciliata
Canada wildrye,Elymus canadensis
quackgrass,Elymus repens
Siberian wildrye,Elymus sibiricus
spiny emex,Emex spinosa
Cupid's-shaving-brush,Emilia fosbergii
lilac tasselflower,Emilia sonchifolia var. sonchifolia
Epidendrum _obrienianum,Epidendrum x obrienianum
aboriginal willowherb,Epilobium billardierianum ssp. Cinereum
hairy willowherb,Epilobium hirsutum
helleborine,Epipactis helleborine
centipede tongavine,Epipremnum pinnatum
golden pothos,Epipremnum pinnatum cv. Aureum
field horsetail,Equisetum arvense
horsetail,Equisetum spp.
giant horsetail,Equisetum telmateia
stinkgrass,Eragrostis cilianensis
Cuming's lovegrass,Eragrostis cumingii
weeping lovegrass,Eragrostis curvula
plains lovegrass,Eragrostis intermedia
Lehmann lovegrass,Eragrostis lehmanniana
American burnweed,Erechtites hieraciifolius
tropical burnweed,Erechtites valerianifolius
Scots heath,Erica cinerea
Spanish heath,Erica lusitanica
crossleaf heath,Erica tetralix
Canadian horseweed,Erigeron canadensis
tropical cupgrass,Eriochloa fatmensis
redstem filaree,Erodium cicutarium
dog mustard,Erucastrum gallicum
sanddune wallflower,Erysimum capitatum
Aegean wallflower,Erysimum cheiri
Indian coralbean,Erythrina variegata
California poppy,Eschscholzia californica
river redgum,Eucalyptus camaldulensis
sugargum,Eucalyptus cladocalyx
Tasmanian bluegum,Eucalyptus globulus
redbox,Eucalyptus polyanthemos
swampmahogany,Eucalyptus robusta
black peppermint,Eucalyptus salicifolia
forest redgum,Eucalyptus tereticornis
father-and-child plant,Euchiton japonicus
Surinam cherry,Eugenia uniflora
Eulophia ground orchid,Eulophia graminea
winged burning bush,Euonymus alatus
European spindletree,Euonymus europaeus
winter creeper,Euonymus fortunei
cypress spurge,Euphorbia cyparissias
leafy spurge,Euphorbia esula
leafy spurge,Euphorbia esula var. esula
moleplant,Euphorbia lathyris
spotted spurge,Euphorbia maculata
myrtle spurge,Euphorbia myrsinites
eggleaf spurge,Euphorbia oblongata
petty spurge,Euphorbia peplus
poinsettia,Euphorbia pulcherrima
Geraldton carnation weed,Euphorbia terracina
common eyebright,Euphrasia nemorosa
hawk's eye,Euryops multifidus
common pearlbrush,Exochorda racemosa
buckwheat,Fagopyrum esculentum
Tartary buckwheat,Fagopyrum tataricum
wild buckwheat,Fallopia convolvulus
mulberryweed,Fatoua villosa
tall fescue,Festuca arundinacea
hard fescue,Festuca brevipila
meadow fescue,Festuca pratensis
red fescue,Festuca rubra
sheep fescue,Festuca trachyphylla
Volga fescue,Festuca valesiaca
"lesser celandine, fig buttercup",Ficaria verna
council tree,Ficus altissima
edible fig,Ficus carica
Indian rubberplant,Ficus elastica
Chinese banyan,Ficus microcarpa
Chinese parasoltree,Firmiana simplex
governor's plum,Flacourtia indica
fennel,Foeniculum vulgare
beach strawberry,Fragaria chiloensis
glossy buckthorn,Frangula alnus
shamel ash,Fraxinus uhdei
slender snakecotton,Froelichia gracilis
blanketflower,Gaillardia aristata
firewheel,Gaillardia pulchella
goatsrue,Galega officinalis
splitlip hempnettle,Galeopsis bifida
common hempnettle,Galeopsis tetrahit
smallflower galinsoga,Galinsoga parviflora
hairy galinsoga,Galinsoga quadriradiata
catchweed bedstraw,Galium aparine
smooth bedstraw,Galium mollugo
sweetscented bedstraw,Galium odoratum
purple cudweed,Gamochaeta purpurea
blue lawngrass,Garnotia stricta
nit grass,Gastridium phleoides
treasureflower,Gazania linearis
Mediterranean broom,Genista linifolia
French broom,Genista monspessulana
Dyer's greenweed,Genista tinctoria
Bicknell's cranesbill,Geranium bicknellii
Carolina geranium,Geranium carolinianum
longstalk cranesbill,Geranium columbinum
cutleaf geranium,Geranium dissectum
Australasian geranium,Geranium homeanum
shining geranium,Geranium lucidum
dovefoot geranium,Geranium molle
little-robin,Geranium purpureum
smallflower geranium,Geranium pusillum
herb-robert,Geranium robertianum
bloody geranium,Geranium sanguineum
herb bennet,Geum urbanum
California gilia,Gilia achilleifolia
bluehead gilia,Gilia capitata
crowndaisy,Glebionis coronaria
corndaisy,Glebionis segetum
ground ivy,Glechoma hederacea
mudmat,Glossostigma cleistanthum
waxy mannagrass,Glyceria declinata
rough mannagrass,Glyceria maxima
western marsh cudweed,Gnaphalium palustre
low cudweed,Gnaphalium uliginosum
silkoak,Grevillea robusta
Chilean gunnera,Gunnera tinctoria
showy baby's-breath,Gypsophila elegans
babysbreath,Gypsophila paniculata
garden baby's-breath,Gypsophila scorzonerifolia Ser.
Jessica sticktight,Hackelia micrantha
halogeton,Halogeton glomeratus
Algerian ivy,Hedera canariensis
English ivy,Hedera helix
Atlantic ivy,Hedera hibernica
ivy,Hedera spp.
white garland-lily,Hedychium coronarium
cream garland-lily,Hedychium flavescens
Kahila garland-lily,Hedychium gardnerianum
common sunflower,Helianthus annuus
Texas blueweed,Helianthus ciliaris
Jerusalem artichoke,Helianthus tuberosus
strawflower,Helichrysum petiolare
white moho,Heliocarpus popayanensis
clasping heliotrope,Heliotropium amplexicaule
bristly oxtongue,Helminthotheca echioides
limpograss,Hemarthria altissima
tawny daylily,Hemerocallis fulva
yellow daylily,Hemerocallis lilioasphodelus
giant hogweed,Heracleum mantegazzianum
eltrot,Heracleum sphondylium ssp. Sibiricum
dames rocket,Hesperis matronalis
Beechey's withe,Heteropterys brachiata
telegraph weed,Heterotheca grandiflora
rose of Sharon,Hibiscus syriacus
polar hawkweed,Hieracium atratum
orange hawkweed,Hieracium aurantiacum
meadow hawkweed,Hieracium caespitosum
Canadian hawkweed,Hieracium canadense
queen-devil hawkweed,Hieracium glomeratum
common hawkweed,Hieracium lachenalii
smooth hawkweed,Hieracium laevigatum
golden lungwort,Hieracium murorum
mouseear hawkweed,Hieracium pilosella
mouseear hawkweed,Hieracium pilosella var. pilosella
kingdevil hawkweed,Hieracium piloselloides
New England hawkweed,Hieracium sabaudum
hawkweeds,Hieracium spp.
narrowleaf hawkweed,Hieracium umbellatum
yellow devil hawkweed,Hieracium x floribundum
Barbados lily,Hippeastrum puniceum
shortpod mustard,Hirschfeldia incana
common velvetgrass,Holcus lanatus
German velvetgrass,Holcus mollis
foxtail barley,Hordeum jubatum
seaside barley,Hordeum marinum
mouse barley,Hordeum murinum
smooth barley,Hordeum murinum ssp. Glaucum
leporinum barley,Hordeum murinum ssp. Leporinum
barley,Hordeum vulgare
chameleon-plant,Houttuynia cordata
Japanese hop,Humulus japonicus
Hispanic hyacinthoides,Hyacinthoides hispanica
panicled hydrangea,Hydrangea paniculata
hydrilla,Hydrilla verticillata
whorled pennywort,Hydrocotyle verticillata
eastern waterleaf,Hydrophyllum virginianum
miramar weed,Hygrophila polysperma
West Indian marsh grass,Hymenachne amplexicaulis
black henbane,Hyoscyamus niger
thatching grass,Hyparrhenia hirta
jaraguagrass,Hyparrhenia rufa
sweet-amber,Hypericum androsaemum
Aaron's beard,Hypericum calycinum
Canary Island St. Johnswort,Hypericum canariense
malfurada,Hypericum grandifolium
common St. Johnswort,Hypericum perforatum
smooth cat's ear,Hypochaeris glabra
hairy cat's ear,Hypochaeris radicata
annual candytuft,Iberis amara
globe candytuft,Iberis umbellata
English holly,Ilex aquifolium
Chinese holly,Ilex cornuta
Japanese holly,Ilex crenata
Himalayan balsam,Impatiens glandulifera
Brazilian satintail,Imperata brasiliensis
California satintail,Imperata brevifolia
cogongrass,Imperata cylindrica
anil de pasto,Indigofera suffruticosa
elecampane,Inula helenium
moonflower,Ipomoea alba
swamp morning-glory,Ipomoea aquatica
gloria de la manana,Ipomoea carnea ssp. Fistulosa
red morning-glory,Ipomoea coccinea
tievine,Ipomoea cordatotriloba var. cordatotriloba
ivyleaf morning-glory,Ipomoea hederacea
blue morning-glory,Ipomoea indica
pitted morning-glory,Ipomoea lacunosa
tall morning-glory,Ipomoea purpurea
yellow iris,Iris pseudacorus
Dyer's woad,Isatis tinctoria
tansy ragwort,Jacobaea vulgaris
smallflower morningglory,Jacquemontia tamnifolia
Gold Coast jasmine,Jasminum dichotomum
Brazilian jasmine,Jasminum fluminense
star jasmine,Jasminum multiflorum
Arabian jasmine,Jasminum sambac
soft rush,Juncus effusus
swordleaf rush,Juncus ensifolius
broadleaf rush,Juncus planifolius
eastern redcedar,Juniperus virginiana
chandelier plant,Kalanchoe delagoensis
cathedral bells,Kalanchoe pinnata
hybrid mother of millions,Kalanchoe x houghtonii
castor aralia,Kalopanax septemlobus
Japanese rose,Kerria japonica
bluebuttons,Knautia arvensis
redhot poker,Kniphofia uvaria
flamegold,Koelreuteria elegans
goldenrain tree,Koelreuteria paniculata
beautybush,Kolkwitzia amabilis
Korean lespedeza,Kummerowia stipulacea
Japanese clover,Kummerowia striata
green kyllinga,Kyllinga brevifolia
false green kyllinga,Kyllinga gracillima
white kyllinga,Kyllinga nemoralis
tall lettuce,Lactuca canadensis
willowleaf lettuce,Lactuca saligna
lettuce,Lactuca sativa
prickly lettuce,Lactuca serriola
lettuce,Lactuca spp.
blue lettuce,Lactuca tatarica
crapemyrtle,Lagerstroemia indica
white deadnettle,Lamium album
henbit,Lamium amplexicaule
yellow archangel,Lamium galeobdolon
spotted deadnettle,Lamium maculatum
purple deadnettle,Lamium purpureum
purple deadnettle,Lamium purpureum var. purpureum
dotted duckmeat,Landoltia punctata
largeleaf lantana,Lantana camara
weeping lantana,Lantana montevidensis
European sticktight,Lappula squarrosa
nipplewort,Lapsana communis
everlasting peavine,Lathyrus latifolius
meadow peavine,Lathyrus pratensis
flat peavine,Lathyrus sylvestris
common duckweed,Lemna minor
bristly hawkbit,Leontodon hispidus
lesser hawkbit,Leontodon saxatilis
lesser hawkbit,Leontodon saxatilis ssp. saxatilis
lesser hawkbit,Leontodon taraxacoides ssp. taraxacoides
motherwort,Leonurus cardiaca
common motherwort,Leonurus cardiaca ssp. cardiaca
hairy whitetop,Lepidium appelianum
field pepperweed,Lepidium campestre
orbicular whitetop,Lepidium chalepense
greenflower pepperweed,Lepidium densiflorum
common pepperweed,Lepidium densiflorum var. densiflorum
hoary cress,Lepidium draba
